窗口 1
轨迹 1
通道 1
参数 S11
扫描类型 线性扫描
起始频率 26.5000GHz
终止频率 40.0000GHz
扫描点数 201
数据格式 原始数据 
======================
频率(Hz)　　实部／虚部(U/U)
2.927e+010    -9.915272e-001    -4.014289e-002 
2.934e+010    -9.925340e-001    -4.246256e-002 
2.940e+010    -9.915357e-001    -4.256253e-002 
2.947e+010    -9.927708e-001    -4.323822e-002 
2.954e+010    -9.931186e-001    -4.463507e-002 
2.961e+010    -9.932896e-001    -4.518338e-002 
2.967e+010    -9.939414e-001    -4.609625e-002 
2.974e+010    -9.954569e-001    -4.768727e-002 
2.981e+010    -9.951159e-001    -4.738528e-002 
2.988e+010    -9.969329e-001    -4.987957e-002 
2.994e+010    -9.962498e-001    -4.912489e-002 
3.001e+010    -9.985050e-001    -4.968804e-002 
3.008e+010    -9.974200e-001    -5.338167e-002 
3.015e+010    -9.991238e-001    -5.013646e-002 
3.021e+010    -9.991681e-001    -5.349798e-002 
3.028e+010    -1.000222e+000    -5.384959e-002 
3.035e+010    -9.985538e-001    -5.432571e-002 
3.042e+010    -9.999606e-001    -5.474254e-002 
3.048e+010    -9.999035e-001    -5.755118e-002 
3.055e+010    -9.993024e-001    -5.682975e-002 
3.062e+010    -9.996204e-001    -6.047163e-002 
3.069e+010    -9.998965e-001    -5.993287e-002 
3.075e+010    -1.000135e+000    -6.342145e-002 
3.082e+010    -9.985832e-001    -6.441144e-002 
3.089e+010    -1.001520e+000    -6.538740e-002 
3.096e+010    -9.990148e-001    -6.978010e-002 
3.102e+010    -9.998249e-001    -7.035913e-002 
3.109e+010    -1.001252e+000    -7.193208e-002 
3.116e+010    -1.003091e+000    -7.560598e-002 
3.123e+010    -1.001400e+000    -7.628634e-002 
3.129e+010    -1.004516e+000    -7.815170e-002 
3.136e+010    -1.000389e+000    -8.309601e-002 
3.143e+010    -9.998922e-001    -8.453488e-002 
3.150e+010    -1.000140e+000    -8.941601e-002 
3.156e+010    -9.952131e-001    -9.346821e-002 
3.163e+010    -9.960323e-001    -9.987409e-002 
3.170e+010    -9.903664e-001    -1.029634e-001 
3.177e+010    -9.875727e-001    -1.124358e-001 
3.183e+010    -9.822735e-001    -1.193115e-001 
3.190e+010    -9.731090e-001    -1.262615e-001 
3.197e+010    -9.650179e-001    -1.362283e-001 
3.204e+010    -9.530690e-001    -1.475337e-001 
3.210e+010    -9.333803e-001    -1.531907e-001 
3.217e+010    -9.146526e-001    -1.650268e-001 
3.224e+010    -8.812713e-001    -1.681501e-001 
3.231e+010    -8.484543e-001    -1.599417e-001 
3.237e+010    -8.085005e-001    -1.450080e-001 
3.244e+010    -7.787476e-001    -1.022186e-001 
3.251e+010    -7.649580e-001    -5.533223e-002 
3.258e+010    -7.692244e-001    -7.084446e-003 
3.264e+010    -7.967452e-001    3.344011e-002 
3.271e+010    -8.210787e-001    5.396063e-002 
3.278e+010    -8.485724e-001    6.908004e-002 
3.285e+010    -8.772093e-001    7.214435e-002 
3.291e+010    -8.906838e-001    7.278679e-002 
3.298e+010    -9.102890e-001    7.296085e-002 
3.305e+010    -9.238514e-001    6.743151e-002 
3.312e+010    -9.308119e-001    6.557655e-002 
3.318e+010    -9.434905e-001    6.245131e-002 
3.325e+010    -9.478622e-001    5.734878e-002 
3.332e+010    -9.535093e-001    5.590557e-002 
3.339e+010    -9.602540e-001    5.143044e-002 
3.345e+010    -9.617331e-001    4.894631e-002 
3.352e+010    -9.677865e-001    4.638629e-002 
3.359e+010    -9.699228e-001    4.320477e-002 
3.366e+010    -9.724096e-001    4.154265e-002 
3.372e+010    -9.760557e-001    3.930146e-002 
3.379e+010    -9.763711e-001    3.645802e-002 
3.386e+010    -9.794005e-001    3.618771e-002 
3.393e+010    -9.812586e-001    3.266771e-002 
3.399e+010    -9.806886e-001    3.194133e-002 
3.406e+010    -9.850608e-001    3.148358e-002 
3.413e+010    -9.849385e-001    2.809266e-002 
3.420e+010    -9.849459e-001    2.929898e-002 
3.426e+010    -9.887795e-001    2.764739e-002 
3.433e+010    -9.869034e-001    2.479275e-002 
3.440e+010    -9.873850e-001    2.547740e-002 
3.447e+010    -9.906735e-001    2.477876e-002 
3.453e+010    -9.901729e-001    2.213066e-002 
3.460e+010    -9.920832e-001    2.293547e-002 
3.467e+010    -9.922764e-001    2.190789e-002 
3.474e+010    -9.922031e-001    2.204083e-002 
3.480e+010    -9.942697e-001    2.182694e-002 
3.487e+010    -9.932938e-001    2.049107e-002 
3.494e+010    -9.937305e-001    2.063259e-002 
3.501e+010    -9.953570e-001    1.977100e-002 
3.507e+010    -9.939731e-001    1.892451e-002 
3.514e+010    -9.955052e-001    1.915940e-002 
3.521e+010    -9.961540e-001    1.790445e-002 
3.528e+010    -9.955061e-001    1.760087e-002 
3.534e+010    -9.968854e-001    1.740858e-002 
3.541e+010    -9.970428e-001    1.646303e-002 
3.548e+010    -9.969119e-001    1.650126e-002 
3.555e+010    -9.983453e-001    1.599716e-002 
3.561e+010    -9.978669e-001    1.566023e-002 
3.568e+010    -9.983276e-001    1.566748e-002 
3.575e+010    -9.991916e-001    1.521807e-002 
3.582e+010    -9.988225e-001    1.549297e-002 
3.588e+010    -9.995673e-001    1.483599e-002 
3.595e+010    -9.995197e-001    1.486364e-002 
3.602e+010    -9.994419e-001    1.464563e-002 
3.609e+010    -1.000080e+000    1.424385e-002 
3.615e+010    -9.997903e-001    1.406671e-002 
3.622e+010    -1.000248e+000    1.421220e-002 
3.629e+010    -1.000246e+000    1.360407e-002 
3.636e+010    -1.000088e+000    1.385923e-002 
3.642e+010    -1.000952e+000    1.349931e-002 
3.649e+010    -1.000325e+000    1.315211e-002 
3.656e+010    -1.000740e+000    1.339395e-002 
3.663e+010    -1.001152e+000    1.296866e-002 
3.669e+010    -1.000791e+000    1.288545e-002 
3.676e+010    -1.001297e+000    1.335555e-002 
3.683e+010    -1.001511e+000    1.255880e-002 
3.690e+010    -1.001115e+000    1.296600e-002 
3.696e+010    -1.001905e+000    1.303315e-002 
3.703e+010    -1.001749e+000    1.252075e-002 
3.710e+010    -1.001668e+000    1.310506e-002 
3.717e+010    -1.002047e+000    1.310927e-002 
3.723e+010    -1.001908e+000    1.288225e-002 
3.730e+010    -1.001955e+000    1.328197e-002 
3.737e+010    -1.002128e+000    1.313354e-002 
3.744e+010    -1.001871e+000    1.320011e-002 
3.750e+010    -1.002158e+000    1.336653e-002 
3.757e+010    -1.001688e+000    1.325073e-002 
3.764e+010    -1.001676e+000    1.354183e-002 
3.771e+010    -1.001815e+000    1.319787e-002 
3.777e+010    -1.001409e+000    1.328262e-002 
3.784e+010    -1.001559e+000    1.340094e-002 
3.791e+010    -1.001425e+000    1.301940e-002 
3.798e+010    -1.001103e+000    1.306874e-002 
3.804e+010    -1.001275e+000    1.317269e-002 
3.811e+010    -1.000914e+000    1.267602e-002 
3.818e+010    -1.001012e+000    1.291196e-002 
3.825e+010    -1.001159e+000    1.259615e-002 
3.831e+010    -1.000680e+000    1.249519e-002 
3.838e+010    -1.000899e+000    1.263429e-002 
3.845e+010    -1.000767e+000    1.222800e-002 
3.852e+010    -1.000532e+000    1.222588e-002 
3.858e+010    -1.000965e+000    1.220914e-002 
3.865e+010    -1.000689e+000    1.176533e-002 
3.872e+010    -1.000551e+000    1.211848e-002 
3.879e+010    -1.000885e+000    1.181314e-002 
3.885e+010    -1.000715e+000    1.152787e-002 
3.892e+010    -1.000896e+000    1.183287e-002 
3.899e+010    -1.001187e+000    1.140245e-002 
3.906e+010    -1.001011e+000    1.137646e-002 
3.912e+010    -1.001184e+000    1.141030e-002 
3.919e+010    -1.001250e+000    1.107568e-002 
3.926e+010    -1.001308e+000    1.120996e-002 
3.933e+010    -1.001529e+000    1.108664e-002 
3.939e+010    -1.001504e+000    1.092978e-002 
3.946e+010    -1.002003e+000    1.098663e-002 
3.953e+010    -1.002085e+000    1.088189e-002 
3.960e+010    -1.002230e+000    1.087552e-002 
3.966e+010    -1.002687e+000    1.104130e-002 
3.973e+010    -1.002582e+000    1.084109e-002 
3.980e+010    -1.002784e+000    1.117993e-002 
3.987e+010    -1.003063e+000    1.117212e-002 
3.993e+010    -1.002991e+000    1.113332e-002 
4.000e+010    -1.003308e+000    1.173001e-002 
======================
窗口 2
轨迹 1
通道 1
参数 S21
扫描类型 线性扫描
起始频率 26.5000GHz
终止频率 40.0000GHz
扫描点数 201
数据格式 原始数据 
======================
频率(Hz)　　实部／虚部(U/U)
2.650e+010    -8.922404e-003    1.282877e-002 
2.657e+010    -9.138977e-003    1.320434e-002 
2.664e+010    -8.865340e-003    1.347210e-002 
2.670e+010    -8.993774e-003    1.384707e-002 
2.677e+010    -8.851468e-003    1.430513e-002 
2.684e+010    -8.955938e-003    1.466677e-002 
2.691e+010    -8.915718e-003    1.483171e-002 
2.697e+010    -8.734600e-003    1.554291e-002 
2.704e+010    -8.919201e-003    1.596037e-002 
2.711e+010    -8.694877e-003    1.624468e-002 
2.718e+010    -8.412462e-003    1.690097e-002 
2.724e+010    -8.665282e-003    1.755413e-002 
2.731e+010    -8.323776e-003    1.755608e-002 
2.738e+010    -8.036786e-003    1.854693e-002 
2.745e+010    -8.070824e-003    1.884414e-002 
2.751e+010    -7.704918e-003    1.922671e-002 
2.758e+010    -7.423360e-003    1.986892e-002 
2.765e+010    -7.167258e-003    2.027033e-002 
2.772e+010    -7.053918e-003    2.063508e-002 
2.778e+010    -6.544826e-003    2.120949e-002 
2.785e+010    -6.254941e-003    2.141503e-002 
2.792e+010    -6.177460e-003    2.223101e-002 
2.799e+010    -5.964981e-003    2.228307e-002 
2.805e+010    -5.220009e-003    2.290918e-002 
2.812e+010    -5.676383e-003    2.356182e-002 
2.819e+010    -4.988808e-003    2.388938e-002 
2.826e+010    -4.674033e-003    2.442800e-002 
2.832e+010    -4.654538e-003    2.551321e-002 
2.839e+010    -4.305250e-003    2.568757e-002 
2.846e+010    -3.375938e-003    2.647913e-002 
2.853e+010    -3.628933e-003    2.737528e-002 
2.859e+010    -2.399811e-003    2.768739e-002 
2.866e+010    -2.224702e-003    2.838131e-002 
2.873e+010    -1.131817e-003    2.887162e-002 
2.880e+010    -1.067007e-003    2.977065e-002 
2.886e+010    -2.616388e-005    2.951480e-002 
2.893e+010    4.104705e-004    3.083696e-002 
2.900e+010    9.557392e-004    3.087303e-002 
2.907e+010    1.178542e-003    3.147606e-002 
2.913e+010    2.429785e-003    3.152849e-002 
2.920e+010    2.631374e-003    3.333675e-002 
2.927e+010    2.604709e-003    3.223012e-002 
2.934e+010    4.454290e-003    3.413132e-002 
2.940e+010    3.770781e-003    3.439190e-002 
2.947e+010    5.082779e-003    3.530584e-002 
2.954e+010    5.792597e-003    3.554633e-002 
2.961e+010    7.154783e-003    3.693139e-002 
2.967e+010    6.703933e-003    3.695083e-002 
2.974e+010    9.538322e-003    3.794307e-002 
2.981e+010    9.140942e-003    3.818752e-002 
2.988e+010    1.061325e-002    3.946154e-002 
2.994e+010    1.107950e-002    3.930195e-002 
3.001e+010    1.285885e-002    3.977126e-002 
3.008e+010    1.254327e-002    4.233799e-002 
3.015e+010    1.454502e-002    4.042555e-002 
3.021e+010    1.501759e-002    4.240475e-002 
3.028e+010    1.650243e-002    4.344643e-002 
3.035e+010    1.596115e-002    4.375910e-002 
3.042e+010    1.779093e-002    4.424378e-002 
3.048e+010    1.904588e-002    4.749403e-002 
3.055e+010    1.885727e-002    4.641619e-002 
3.062e+010    2.079217e-002    4.935599e-002 
3.069e+010    2.223080e-002    5.034431e-002 
3.075e+010    2.311226e-002    5.198445e-002 
3.082e+010    2.384703e-002    5.334095e-002 
3.089e+010    2.734212e-002    5.483903e-002 
3.096e+010    2.658724e-002    5.739181e-002 
3.102e+010    2.941225e-002    5.915498e-002 
3.109e+010    3.155254e-002    6.012290e-002 
3.116e+010    3.230847e-002    6.353310e-002 
3.123e+010    3.249072e-002    6.527380e-002 
3.129e+010    3.657191e-002    6.629782e-002 
3.136e+010    3.595799e-002    7.168947e-002 
3.143e+010    3.709305e-002    7.427826e-002 
3.150e+010    4.011997e-002    7.798259e-002 
3.156e+010    3.937113e-002    8.394672e-002 
3.163e+010    4.241892e-002    9.086781e-002 
3.170e+010    4.294375e-002    9.479513e-002 
3.177e+010    4.399573e-002    1.062515e-001 
3.183e+010    4.472724e-002    1.147883e-001 
3.190e+010    4.370952e-002    1.257152e-001 
3.197e+010    4.153502e-002    1.407999e-001 
3.204e+010    3.969634e-002    1.583764e-001 
3.210e+010    2.895512e-002    1.732703e-001 
3.217e+010    1.861704e-002    1.986313e-001 
3.224e+010    -5.913423e-003    2.197605e-001 
3.231e+010    -3.666970e-002    2.354181e-001 
3.237e+010    -8.061161e-002    2.445328e-001 
3.244e+010    -1.292229e-001    2.333083e-001 
3.251e+010    -1.713934e-001    2.006972e-001 
3.258e+010    -1.949990e-001    1.584710e-001 
3.264e+010    -2.016524e-001    1.130196e-001 
3.271e+010    -1.952843e-001    7.736286e-002 
3.278e+010    -1.803346e-001    5.078596e-002 
3.285e+010    -1.642082e-001    2.974842e-002 
3.291e+010    -1.514607e-001    1.823586e-002 
3.298e+010    -1.361433e-001    8.880155e-003 
3.305e+010    -1.229150e-001    2.488560e-003 
3.312e+010    -1.151875e-001    -7.311443e-004 
3.318e+010    -1.032538e-001    -5.166885e-003 
3.325e+010    -9.611686e-002    -5.437427e-003 
3.332e+010    -9.035361e-002    -6.445609e-003 
3.339e+010    -8.248830e-002    -7.890337e-003 
3.345e+010    -7.847400e-002    -7.203869e-003 
3.352e+010    -7.327405e-002    -7.048108e-003 
3.359e+010    -6.874318e-002    -8.763938e-003 
3.366e+010    -6.528755e-002    -5.878790e-003 
3.372e+010    -6.162673e-002    -7.745646e-003 
3.379e+010    -5.890575e-002    -5.928263e-003 
3.386e+010    -5.544144e-002    -5.982132e-003 
3.393e+010    -5.226986e-002    -5.946979e-003 
3.399e+010    -5.111032e-002    -4.210156e-003 
3.406e+010    -4.736638e-002    -5.609773e-003 
3.413e+010    -4.614892e-002    -4.888436e-003 
3.420e+010    -4.442836e-002    -4.015421e-003 
3.426e+010    -4.256570e-002    -5.395409e-003 
3.433e+010    -4.013669e-002    -3.797317e-003 
3.440e+010    -4.004706e-002    -3.327998e-003 
3.447e+010    -3.787148e-002    -4.583989e-003 
3.453e+010    -3.712063e-002    -3.833274e-003 
3.460e+010    -3.596866e-002    -3.466942e-003 
3.467e+010    -3.495516e-002    -4.131316e-003 
3.474e+010    -3.504059e-002    -2.902455e-003 
3.480e+010    -3.347500e-002    -3.173395e-003 
3.487e+010    -3.284768e-002    -2.999921e-003 
3.494e+010    -3.246652e-002    -1.614812e-003 
3.501e+010    -3.071045e-002    -2.172490e-003 
3.507e+010    -3.095188e-002    -1.387604e-003 
3.514e+010    -2.966669e-002    -9.120668e-004 
3.521e+010    -2.874443e-002    -1.266769e-003 
3.528e+010    -2.831519e-002    -3.857721e-004 
3.534e+010    -2.762520e-002    -5.673453e-004 
3.541e+010    -2.637424e-002    -4.535592e-004 
3.548e+010    -2.664181e-002    -2.776234e-004 
3.555e+010    -2.547487e-002    -1.399515e-004 
3.561e+010    -2.496107e-002    -2.107170e-004 
3.568e+010    -2.506833e-002    1.044911e-004 
3.575e+010    -2.407522e-002    4.636095e-004 
3.582e+010    -2.387053e-002    -1.138673e-005 
3.588e+010    -2.391231e-002    1.061281e-003 
3.595e+010    -2.267953e-002    6.524184e-004 
3.602e+010    -2.333566e-002    9.664644e-004 
3.609e+010    -2.221056e-002    1.310588e-003 
3.615e+010    -2.192953e-002    1.385443e-003 
3.622e+010    -2.190906e-002    1.297654e-003 
3.629e+010    -2.121355e-002    1.970128e-003 
3.636e+010    -2.095352e-002    1.756592e-003 
3.642e+010    -2.068924e-002    2.150850e-003 
3.649e+010    -2.026830e-002    2.229511e-003 
3.656e+010    -1.984068e-002    2.594045e-003 
3.663e+010    -1.977388e-002    2.110362e-003 
3.669e+010    -1.930015e-002    3.055613e-003 
3.676e+010    -1.923635e-002    2.386352e-003 
3.683e+010    -1.900312e-002    3.069748e-003 
3.690e+010    -1.866839e-002    3.082833e-003 
3.696e+010    -1.868371e-002    2.807389e-003 
3.703e+010    -1.831817e-002    3.436549e-003 
3.710e+010    -1.805650e-002    3.456295e-003 
3.717e+010    -1.853642e-002    3.305443e-003 
3.723e+010    -1.784697e-002    4.123747e-003 
3.730e+010    -1.796754e-002    3.909489e-003 
3.737e+010    -1.787730e-002    4.108749e-003 
3.744e+010    -1.765750e-002    4.562021e-003 
3.750e+010    -1.725398e-002    4.650283e-003 
3.757e+010    -1.758445e-002    4.859444e-003 
3.764e+010    -1.701931e-002    5.454559e-003 
3.771e+010    -1.673790e-002    5.539296e-003 
3.777e+010    -1.654381e-002    5.667503e-003 
3.784e+010    -1.653022e-002    5.913460e-003 
3.791e+010    -1.588782e-002    6.064469e-003 
3.798e+010    -1.600126e-002    6.677779e-003 
3.804e+010    -1.541937e-002    6.305112e-003 
3.811e+010    -1.530932e-002    6.732131e-003 
3.818e+010    -1.509996e-002    6.843104e-003 
3.825e+010    -1.492954e-002    6.930151e-003 
3.831e+010    -1.432609e-002    7.095839e-003 
3.838e+010    -1.439724e-002    7.371908e-003 
3.845e+010    -1.416012e-002    7.310025e-003 
3.852e+010    -1.373300e-002    7.634022e-003 
3.858e+010    -1.360665e-002    7.605801e-003 
3.865e+010    -1.333072e-002    7.824567e-003 
3.872e+010    -1.313406e-002    7.592281e-003 
3.879e+010    -1.311791e-002    7.817760e-003 
3.885e+010    -1.277189e-002    7.922661e-003 
3.892e+010    -1.279326e-002    7.759971e-003 
3.899e+010    -1.229529e-002    8.026744e-003 
3.906e+010    -1.206102e-002    8.017235e-003 
3.912e+010    -1.204364e-002    7.781981e-003 
3.919e+010    -1.162091e-002    7.818185e-003 
3.926e+010    -1.171797e-002    7.872867e-003 
3.933e+010    -1.174405e-002    7.664726e-003 
3.939e+010    -1.147377e-002    7.731778e-003 
3.946e+010    -1.143125e-002    7.844508e-003 
3.953e+010    -1.161205e-002    7.461485e-003 
3.960e+010    -1.131666e-002    7.845427e-003 
3.966e+010    -1.119428e-002    7.628790e-003 
3.973e+010    -1.150455e-002    7.790340e-003 
3.980e+010    -1.127462e-002    7.746854e-003 
3.987e+010    -1.118484e-002    7.763823e-003 
3.993e+010    -1.143874e-002    8.131966e-003 
4.000e+010    -1.130433e-002    7.966677e-003 
======================
窗口 3
轨迹 1
通道 1
参数 S12
扫描类型 线性扫描
起始频率 26.5000GHz
终止频率 40.0000GHz
扫描点数 201
数据格式 原始数据 
======================
频率(Hz)　　实部／虚部(U/U)
2.650e+010    -9.322700e-003    1.287091e-002 
2.657e+010    -9.262506e-003    1.291188e-002 
2.664e+010    -8.994543e-003    1.327457e-002 
2.670e+010    -9.129421e-003    1.370116e-002 
2.677e+010    -9.099962e-003    1.390771e-002 
2.684e+010    -8.902285e-003    1.410736e-002 
2.691e+010    -8.885108e-003    1.459619e-002 
2.697e+010    -9.087089e-003    1.488964e-002 
2.704e+010    -8.879958e-003    1.508035e-002 
2.711e+010    -8.819287e-003    1.568943e-002 
2.718e+010    -8.769566e-003    1.612672e-002 
2.724e+010    -8.722257e-003    1.638585e-002 
2.731e+010    -8.399570e-003    1.671969e-002 
2.738e+010    -8.440259e-003    1.731139e-002 
2.745e+010    -8.625335e-003    1.763786e-002 
2.751e+010    -8.361519e-003    1.792533e-002 
2.758e+010    -8.038879e-003    1.867996e-002 
2.765e+010    -8.366329e-003    1.911273e-002 
2.772e+010    -8.074751e-003    1.945800e-002 
2.778e+010    -7.620227e-003    2.012168e-002 
2.785e+010    -7.646136e-003    2.078202e-002 
2.792e+010    -7.493216e-003    2.110344e-002 
2.799e+010    -6.879655e-003    2.144118e-002 
2.805e+010    -6.758117e-003    2.223415e-002 
2.812e+010    -6.519676e-003    2.241773e-002 
2.819e+010    -6.574024e-003    2.277154e-002 
2.826e+010    -5.722143e-003    2.328849e-002 
2.832e+010    -6.075411e-003    2.422331e-002 
2.839e+010    -5.773911e-003    2.417691e-002 
2.846e+010    -5.182765e-003    2.495478e-002 
2.853e+010    -4.958952e-003    2.553429e-002 
2.859e+010    -4.941113e-003    2.602941e-002 
2.866e+010    -4.631600e-003    2.596307e-002 
2.873e+010    -4.120689e-003    2.710907e-002 
2.880e+010    -4.506072e-003    2.732371e-002 
2.886e+010    -4.072653e-003    2.792677e-002 
2.893e+010    -3.800321e-003    2.831156e-002 
2.900e+010    -3.330630e-003    2.958005e-002 
2.907e+010    -3.602090e-003    2.987775e-002 
2.913e+010    -2.618958e-003    3.067846e-002 
2.920e+010    -2.455400e-003    3.163640e-002 
2.927e+010    -2.182951e-003    3.218812e-002 
2.934e+010    -2.048266e-003    3.294150e-002 
2.940e+010    -8.466605e-004    3.388377e-002 
2.947e+010    -1.123932e-003    3.463885e-002 
2.954e+010    -2.171177e-004    3.529650e-002 
2.961e+010    -6.894206e-004    3.643650e-002 
2.967e+010    -9.473155e-004    3.796158e-002 
2.974e+010    -3.709717e-003    3.843534e-002 
2.981e+010    -4.898039e-003    4.136235e-002 
2.988e+010    -9.950976e-003    4.314841e-002 
2.994e+010    -8.953196e-003    4.378038e-002 
3.001e+010    -1.296281e-002    4.657343e-002 
3.008e+010    -1.182387e-002    5.038529e-002 
3.015e+010    -1.755010e-002    5.164974e-002 
3.021e+010    -1.391991e-002    5.174466e-002 
3.028e+010    -1.320505e-002    5.895752e-002 
3.035e+010    -1.350869e-002    5.595956e-002 
3.042e+010    -1.147320e-002    5.914093e-002 
3.048e+010    -7.009772e-003    5.768570e-002 
3.055e+010    -8.031098e-003    6.257113e-002 
3.062e+010    -7.318187e-003    5.850976e-002 
3.069e+010    -3.255055e-003    6.106350e-002 
3.075e+010    -4.758761e-003    6.165582e-002 
3.082e+010    -4.847185e-003    6.442968e-002 
3.089e+010    -5.172855e-003    6.443422e-002 
3.096e+010    -3.762754e-003    6.872069e-002 
3.102e+010    -5.665864e-003    7.038436e-002 
3.109e+010    -1.140765e-003    7.076191e-002 
3.116e+010    -1.743599e-003    7.576261e-002 
3.123e+010    -1.960884e-003    7.891633e-002 
3.129e+010    -4.505425e-003    8.254233e-002 
3.136e+010    -1.676363e-003    8.805728e-002 
3.143e+010    -5.433459e-003    9.516964e-002 
3.150e+010    -6.068716e-003    9.718111e-002 
3.156e+010    -6.198158e-003    1.051854e-001 
3.163e+010    -9.836581e-003    1.139053e-001 
3.170e+010    -1.452939e-002    1.221629e-001 
3.177e+010    -1.457071e-002    1.264266e-001 
3.183e+010    -1.376395e-002    1.442344e-001 
3.190e+010    -1.930472e-002    1.501372e-001 
3.197e+010    -1.961789e-002    1.605987e-001 
3.204e+010    -1.755512e-002    1.751464e-001 
3.210e+010    -2.312686e-002    1.897804e-001 
3.217e+010    -3.110449e-002    2.026249e-001 
3.224e+010    -4.992567e-002    2.201635e-001 
3.231e+010    -8.586416e-002    2.312292e-001 
3.237e+010    -1.296013e-001    2.318157e-001 
3.244e+010    -1.751051e-001    2.171388e-001 
3.251e+010    -2.147485e-001    1.812443e-001 
3.258e+010    -2.361613e-001    1.344836e-001 
3.264e+010    -2.409241e-001    8.768005e-002 
3.271e+010    -2.297113e-001    4.811037e-002 
3.278e+010    -2.115914e-001    1.798468e-002 
3.285e+010    -1.927568e-001    -2.554143e-003 
3.291e+010    -1.735622e-001    -1.498434e-002 
3.298e+010    -1.571033e-001    -2.296240e-002 
3.305e+010    -1.424527e-001    -2.723921e-002 
3.312e+010    -1.300613e-001    -2.938636e-002 
3.318e+010    -1.178282e-001    -2.938234e-002 
3.325e+010    -1.089334e-001    -3.043603e-002 
3.332e+010    -1.003969e-001    -2.941087e-002 
3.339e+010    -9.232351e-002    -2.927475e-002 
3.345e+010    -8.699198e-002    -2.781106e-002 
3.352e+010    -8.176286e-002    -2.710576e-002 
3.359e+010    -7.626545e-002    -2.581287e-002 
3.366e+010    -7.344763e-002    -2.325885e-002 
3.372e+010    -6.835010e-002    -2.232909e-002 
3.379e+010    -6.515752e-002    -2.115495e-002 
3.386e+010    -6.117051e-002    -1.872594e-002 
3.393e+010    -5.841716e-002    -1.860907e-002 
3.399e+010    -5.533792e-002    -1.721733e-002 
3.406e+010    -5.311161e-002    -1.568123e-002 
3.413e+010    -5.057387e-002    -1.499347e-002 
3.420e+010    -4.845071e-002    -1.387405e-002 
3.426e+010    -4.571441e-002    -1.326381e-002 
3.433e+010    -4.397534e-002    -1.260878e-002 
3.440e+010    -4.240354e-002    -1.210567e-002 
3.447e+010    -4.059062e-002    -1.143497e-002 
3.453e+010    -3.927889e-002    -1.122319e-002 
3.460e+010    -3.830187e-002    -1.031580e-002 
3.467e+010    -3.636230e-002    -1.011273e-002 
3.474e+010    -3.567112e-002    -9.682390e-003 
3.480e+010    -3.435952e-002    -9.106580e-003 
3.487e+010    -3.333923e-002    -9.000075e-003 
3.494e+010    -3.240482e-002    -8.659189e-003 
3.501e+010    -3.136571e-002    -8.061718e-003 
3.507e+010    -3.080263e-002    -8.282996e-003 
3.514e+010    -2.999342e-002    -7.654301e-003 
3.521e+010    -2.917235e-002    -7.613419e-003 
3.528e+010    -2.890673e-002    -7.078515e-003 
3.534e+010    -2.804023e-002    -7.207887e-003 
3.541e+010    -2.761203e-002    -6.492758e-003 
3.548e+010    -2.730316e-002    -6.413910e-003 
3.555e+010    -2.686150e-002    -6.079222e-003 
3.561e+010    -2.612576e-002    -5.551517e-003 
